ip
117.85.21.41:9999
117.85.49.27:9999
221.227.75.156:9999
117.80.112.16:9999
114.225.62.38:9999
210.5.10.87:53281
171.13.102.175:9999
171.13.102.174:9999
120.83.96.167:9999
171.13.200.91:9999
114.224.44.98:9999
112.85.170.69:9999
163.204.247.212:9999
163.204.241.54:9999
1.193.246.167:9999
101.132.149.193:8080
221.227.73.214:9999
117.85.105.54:9999
221.227.75.6:9999
120.83.107.20:9999
117.85.48.3:9999
123.169.37.167:9999
112.85.128.38:9999
112.111.217.116:9999
163.204.241.180:9999
171.11.179.23:9999
39.84.124.184:9999
1.197.10.71:9999
163.204.245.2:9999
58.22.177.218:9999
1.197.16.140:9999
112.87.69.128:9999
163.204.246.207:9999
163.204.245.17:9999
112.85.165.60:9999
112.85.172.94:9999
